,Category,Product_Name,Input,Units,Revenue,GM,GC
0,Burgers,Hamburger,29,1412.5886627316468,40965.07121921776,26990.218571720558,58082.354366251755
1,Burgers,Cheeseburger,35,7581.626847068662,265356.93964740314,176481.39474890922,58082.354366251755
2,Burgers,Double Cheeseburger,60,2206.5186744835833,132391.120469015,85562.61594418481,58082.354366251755
3,Burgers,McChicken,55,765.4766386191455,42101.21512405301,26799.73516590837,58082.354366251755
4,Burgers,Chicken Bacon,74,480.4215333955571,35551.193471271225,23046.623260945646,58082.354366251755
5,Burgers,Big Mac,61,1633.8227572996077,99663.18819527607,58596.74276422655,58082.354366251755
6,Burgers,Big Tasty,98,1089.2666668150903,106748.13334787884,56710.07655306065,58082.354366251755
7,Burgers,Royal Cheeseburger,67,537.9730376374113,36044.193521706555,21486.38489618014,58082.354366251755
8,Burgers,Double Royal Cheeseburger,98,238.77265844306666,23399.720527420533,12480.119169243935,58082.354366251755
9,Burgers,UA Burger Pork,63,299.50130787722526,18868.582396265192,11330.550783813382,58082.354366251755
10,Wrap,Roll Chicken,74,1595.070392206446,118035.20902327701,76734.75318884807,58082.354366251755
11,Finger Food,Chicken wings 6 pcs,82,463.54725941385976,38010.8752719365,22789.97189052823,58082.354366251755
12,Finger Food,Chicken McNuggets 6 pcs,56,1497.2578880157964,83846.4417288846,58280.16438785967,58082.354366251755
13,Finger Food,Cheese Camambert 4 pcs,64,717.8954947859448,45945.31166630047,29676.263458092115,58082.354366251755
14,McMenu,Menu Chicken McNuggets 6 (Base),99,225.11993941097563,22286.87400168659,15131.217677094588,58082.354366251755
15,McMenu,Menu Double Cheeseburger (Base),99,2609.2491036584393,258315.6612621855,164563.19345473647,58082.354366251755
16,McMenu,Menu McChicken (Base),101,637.0763424061147,64344.710583017586,42240.27465909562,58082.354366251755
17,McMenu,Menu Chicken Bacon (Base),109,519.6621604238272,56643.17548619717,35469.89255089781,58082.354366251755
18,McMenu,Menu Big Mac (Base),109,3939.0409182742787,429355.46009189636,272383.367645583,58082.354366251755
19,McMenu,Menu Big Tasty (Base),146,2216.3459271307916,323586.5053610956,189171.45689514495,58082.354366251755
20,McMenu,Menu Royal Cheeseburger (Base),117,442.42081708579104,51763.23559903755,33282.94066728353,58082.354366251755
21,McMenu,Menu Double Royal Cheeseburger (Base),146,475.04725769862466,69356.8996239992,40640.47197054715,58082.354366251755
22,McMenu,Menu UA Burger Pork,113,236.80798276482366,26759.302052425075,17315.623947758115,58082.354366251755
23,McMenu choice extra charge,Menu Potato Dips Large (extra charge),5,3349.5663779389706,16747.831889694855,5817.660867859526,58082.354366251755
24,McMenu choice extra charge,Menu Coffee McCafe classic (extra charge),5,3086.840947233143,15434.204736165717,-2569.2394572010853,58082.354366251755
25,Happy Meal,Happy Meal,86,2594.4282646903757,223120.8307633723,119999.83108389746,58082.354366251755
26,French Fries,French Fries Small,24,1438.7554284113462,34530.130281872305,29185.729367495518,58082.354366251755
27,French Fries,French Fries Medium,32,2728.9658147116666,87326.90607077333,72228.60251464142,58082.354366251755
28,French Fries,French Fries Large,37,3001.8975954294124,111070.21103088825,88115.5106309903,58082.354366251755
29,French Fries,Potato Dips Large,48,1088.2161327676195,52234.374372845734,40362.05606812561,58082.354366251755
30,Cold drinks,Coca-Cola or Fanta or Sprite small 250 ml,22,941.6999668818785,20717.399271401326,18146.29468582307,58082.354366251755
31,Cold drinks,Coca-Cola or Fanta or Sprite medium 400 ml,26,1132.1884161365927,29436.89881955141,25100.402069949196,58082.354366251755
32,Cold drinks,Coca-Cola or Fanta or Sprite large 500 ml,35,2857.513435396022,100012.97023886077,86415.52113166315,58082.354366251755
33,Cold drinks,Juice Orange 400 ml,34,885.9939814452748,30123.795369139345,20808.569827441315,58082.354366251755
34,Coffee,Coffee McCafe Americano small,26,226.24952695008616,5882.4877007022405,4782.994187059254,58082.354366251755
35,Coffee,Coffee McCafe Latte or Capuccino or Americano with milk small,26,950.6300965527923,24716.3825103726,17416.741162768813,58082.354366251755
36,Coffee,Coffee McCafe Americano medium,30,560.9389748430395,16828.169245291185,13411.84895046613,58082.354366251755
37,Coffee,Coffee McCafe Latte or Capuccino or Americano with milk medium,39,3382.496935502977,131917.3804846161,96093.99811512181,58082.354366251755
38,Desserts,Ice Cone,25,2074.9176562867183,51872.94140716796,43013.04301482367,58082.354366251755
39,Desserts,McSundae Chocolate or Caramel or Strawberry,37,1250.0204185807181,46250.75548748657,37170.369663036705,58082.354366251755
40,Desserts,McFlurry KitKat Chocolate or Caramel or Strawberry,47,3782.8781198567913,177795.27163326918,133149.06314465776,58082.354366251755
41,Desserts,McShake Chocolate or Vanilla or Strawberry medium,39,1290.6107257883186,50333.818305744426,34733.31594174022,58082.354366251755
42,Desserts,McPie Cherry,27,1261.0598632675471,34048.616308223776,26713.169800181415,58082.354366251755
43,Condiments,Sauce to Fries or Finger food,10,18961.909938699162,189619.0993869916,156386.2664093281,58082.354366251755
